prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
59,CuTi3,2,4,tP4,L60L60L6_{0},AB3_tP4_123_a_ce,P4/mmmP4/mmmP4/mmm,123,CuTi3 (L60) Structure
60,eta-Fe2C,2,6,oP6,,AB2_oP6_58_a_g,PnnmPnnmPnnm,58,ηη\eta–Fe2C Structure
61,FTl,2,2,oF8,B24B24B24,AB_oF8_69_a_b,FmmmFmmmFmmm,69,TlF (B24) Structure
62,alpha-Ga,1,4,oC8,A11A11A11,A_oC8_64_f,CmcaCmcaCmca,64,αα\alpha–Ga (A11) Structure
63,H3S,2,4,cI8,,A3B_cI8_229_b_a,Imˉ3mIm3¯mIm\bar{3}m,229,High–pressure H3S Structure
64,FTl,2,8,oP8,,AB_oP8_57_d_d,PbcmPbcmPbcm,57,TlF–II Structure
65,Po,1,1,cP1,AhAhA_{h},A_cP1_221_a,Pmˉ3mPm3¯mPm\bar{3}m,221,αα\alpha–Po (Ah) Structure
66,LiNbO3,3,10,hR10,,ABC3_hR10_167_a_b_e,Rˉ3cR3¯cR\bar{3}c,167,Paraelectric LiNbO3 Structure
67,BiI3,2,8,hR8,D05D05D0_{5},AB3_hR8_148_c_f,Rˉ3R3¯R\bar{3},148,BiI3 (D05) Structure
68,O4Pt3,2,7,cI14,,A4B3_cI14_229_c_b,Imˉ3mIm3¯mIm\bar{3}m,229,Pt3O4 Structure
69,Si,1,12,tP12,,A_tP12_96_ab,P43212P43212P4_{3}2_{1}2,96,ST12 Structure of Si
70,BeO,2,8,tP8,,AB_tP8_136_g_f,P42/mnmP42/mnmP4_{2}/mnm,136,ββ\beta–BeO Structure
71,Al2Cu,2,6,tI12,C16C16C16,A2B_tI12_140_h_a,I4/mcmI4/mcmI4/mcm,140,"Khatyrkite (Al2Cu, C16) Structure"
72,ClKO3,3,10,mP10,G06G06G0_{6},ABC3_mP10_11_e_e_ef,P21/mP21/mP2_{1}/m,11,KClO3 (G06) Structure
73,B,1,12,hR12,,A_hR12_166_2h,Rˉ3mR3¯mR\bar{3}m,166,αα\alpha–B (hR12) Structure
74,NbP,2,4,tI8,"""40""""40""""40""",AB_tI8_141_a_b,I41/amdI41/amdI4_{1}/amd,141,"NbP (""40"") Structure"
