,id,wyckoff_sites,lattice_params,basis_params,lattice_params_value,basis_params_value,pearson_symbol,space_group,prototype
396,cI96-AlLiN-206,"['c', 'e', 'ad']",['a'],"['x2', 'x3', 'x4', 'y4', 'z4']",[9.46],"[0.115, 0.205, 0.16, 0.382, 0.11]",cI96,206,AlLiN
397,oC20-PdSn4-68,"['a', 'i']","['a', 'b/a', 'c/a']","['x2', 'y2', 'z2']","[6.44222, 1.77662048176, 0.991771470083]","[0.3313, 0.1233, 0.0801]",oC20,68,PdSn4
398,mP16-ClH3-10,"['mn', 'mmmnnn']","['a', 'b/a', 'c/a', 'beta']","['x1', 'z1', 'x2', 'z2', 'x3', 'z3', 'x4', 'z4', 'x5', 'z5', 'x6', 'z6', 'x7', 'z7', 'x8', 'z8']","[3.678, 0.71098423056, 1.23817292007, 91.0]","[0.263, 0.339, 0.08, 0.059, 0.795, 0.341, 0.438, -0.069, 0.763, 0.161, 0.705, 0.841, 0.58, 0.441, 0.062, 0.431]",mP16,10,ClH3
399,cP39-Mg2Zn11-200,"['f', 'aghij']",['a'],"['x2', 'x3', 'x4', 'x5', 'y6', 'z6']",[8.5520223662],"[0.18, 0.34, 0.265, 0.278, 0.157, 0.257]",cP39,200,Mg2Zn11
400,tP18-Cu2Rb2Se4Ti-132,"['e', 'i', 'o', 'd']","['a', 'c/a']","['x3', 'x4', 'z4']","[5.6046, 2.34700067801]","[0.2369, 0.26316, 0.34803]",tP18,132,Cu2Rb2Se4Ti
401,cF208-CClCo(Na3O3)2-203,"['e', 'c', 'd', 'f', 'g']",['a'],"['x3', 'x4', 'x5', 'y5', 'z5']",[13.9898],"[0.2826, -0.099, 0.2257, 0.2665, 0.3531]",cF208,203,CClCo(Na3O3)2
402,oF8-BN-42,"['a', 'a']","['a', 'b/a', 'c/a']","['z1', 'z2']","[2.5000573158, 1.33999999997, 1.73599999999]","[0.0, 0.333]",oF8,42,BN
403,oI20-Ga2MnSb2-45,"['c', 'b', 'c']","['a', 'b/a', 'c/a']","['z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3']","[5.9678340183, 1.97721179624, 0.981568364609]","[0.25, 0.2729, 0.629, 0.493, 0.2296, 0.8629, 0.474]",oI20,45,Ga2MnSb2
404,cF416-Cl5[CrCuH3]6N-228,"['eg', 'c', 'b', 'h']",['a'],"['x3', 'y4', 'x5', 'y5', 'z5']",[22.2649775014],"[0.19, 0.425, 0.05, 0.18, 0.28]",cF416,228,Cl5[CrCuH3]6N
405,oC24-CaO4S-63,"['c', 'fg', 'c']","['a', 'b/a', 'c/a']","['y1', 'y2', 'y3', 'z3', 'x4', 'y4']","[6.995, 0.892780557541, 0.999714081487]","[0.6524, 0.15556, 0.7025, -0.0819, 0.1699, 0.0162]",oC24,63,CaO4S
